Decision_Making1,Decision_Making2,Decision_Making3,Decision_Making4,Decision_Making5,Personal_Assessment1,Personal_Assessment2,Personal_Assessment3,Personal_Assessment4,Personal_Assessment5,Course_Environment1,Course_Environment2,Course_Environment3,Course_Environment4,Course_Environment5,Course_Satisfaction1,Course_Satisfaction2,Course_Satisfaction3,Course_Satisfaction4,Course_Satisfaction5,Academic_Experience1,Academic_Experience2,Academic_Experience3,Academic_Experience4,Academic_Experience5,Same_Course,Different_Course
Agree,Strongly Agree,Disagree,Agree,Myself,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,Yes
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Agree,Disagree,31-50,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Family,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Agree,Agree,Agree,Yes,No
Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Socioeconomic ,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,31-50,Strongly Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,No,Yes
Agree,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Disagree,Agree,Agree,31-50,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Yes,No
Disagree,Strongly Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,31-50,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,No,Yes
Strongly Agree,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Yes,No
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Strongly Disagree,Strongly Disagree,Friends and/or boyfriend/girlfriend,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Strongly Disagree,Yes,No
Agree,Disagree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Strongly Disagree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Disagree,Agree,Agree,31-50,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Disagree,No,Yes
Disagree,Agree,Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Disagree,Agree,31-50,Disagree,Agree,Disagree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Yes,No
Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Agree,Disagree,Disagree,Friends and/or boyfriend/girlfriend,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,No,Yes
Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Myself,Strongly Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,31-50,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Strongly Disagree,No,Yes
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,No,Yes
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Disagree,Disagree,Agree,Friends and/or boyfriend/girlfriend,Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,31-50,Agree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Disagree,No,No
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Yes,No
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Agree,31-50,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Yes,No
Agree,Disagree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Disagree,Friends and/or boyfriend/girlfriend,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,31-50,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,No,No
Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Disagree,Disagree,31-50,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Yes,No
Agree,Agree,Strongly Agree,Agree,Myself,Agree,Agree,Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Yes,Yes
Strongly Agree,Agree,Strongly Agree,Strongly Agree,Myself,Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,31-50,Strongly Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Yes,No
Strongly Agree,Strongly Disagree,Agree,Agree,Myself,Strongly Agree,Strongly Agree,Strongly Agree,Friends and/or boyfriend/girlfriend,Agree,Agree,Agree,Agree,Disagree,31-50,Disagree,Agree,Disagree,Agree,Strongly Disagree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Yes,Yes
